date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:29:55	693/693	---M--	200	added ('OK')	text/css	date:Mon,%2007%20Nov%202022%2013:08:41%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/plugins/gtranslate/gtranslate-style24.css?ver=5.9.3	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/plugins/gtranslate/gtranslate-style247404.css	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:55	706/706	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202022%2008:37:10%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2022/09/compiegne-favicon-16x16.png	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2022/09/compiegne-favicon-16x16.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:55	1635/1635	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202022%2008:37:10%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2022/09/compiegne-favicon-32x32.png	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2022/09/compiegne-favicon-32x32.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:55	4684/4684	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202022%2008:37:10%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2022/09/compiegne-favicon-96x96.png	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2022/09/compiegne-favicon-96x96.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:56	10138/10138	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202022%2008:37:10%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2022/09/compiegne-favicon-192x192.png	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2022/09/compiegne-favicon-192x192.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:56	761448/761448	---M--	200	added ('OK')	text/css	date:Thu,%2012%20Oct%202023%2008:20:03%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/themes/compiegne/assets/dist/style-1697098803.css	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/themes/compiegne/assets/dist/style-1697098803.css	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:56	151791/151791	---M--	200	added ('OK')	application/javascript	etag:%22250ef-5ecb503cfad28-gzip%22	https://matomo.dev-thuria.com/js/container_ScZ34uT0.js	D:/EU%20Experience/EU%20Experience/matomo.dev-thuria.com/js/container_ScZ34uT0.js	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:56	268/268	---MC-	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:29:42%20GMT	https://www.googletagmanager.com/ns.html?id=GTM-PXRR7MN	D:/EU%20Experience/EU%20Experience/www.googletagmanager.com/ns2a34.html	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:57	7069/7069	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Dec%202022%2014:23:57%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2022/12/logo-compiegne-colored2x-196x80.png	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2022/12/logo-compiegne-colored2x-196x80.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:57	7277/7277	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Dec%202022%2014:23:47%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2022/12/logo-compiegne-big2x-196x80.png	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2022/12/logo-compiegne-big2x-196x80.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:57	17867/17867	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Oct%202022%2013:02:39%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2022/10/guide-des-decouvertes-22-1-160x210.png	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2022/10/guide-des-decouvertes-22-1-160x210.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:57	20919/20919	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2010:07:32%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2022/11/2022-depliant-touristique-francais-1-160x210-1667556452.png	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2022/11/2022-depliant-touristique-francais-1-160x210-1667556452.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:58	27753/27753	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Oct%202022%2013:05:55%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2022/10/cartetouristique-oise-2022-2-160x210.png	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2022/10/cartetouristique-oise-2022-2-160x210.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:58	5130/5130	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2011:13:56%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2022/08/logo-0x58.png	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2022/08/logo-0x58.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:58	5190/5190	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2011:15:07%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2022/11/arc-logo-0x58.png	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2022/11/arc-logo-0x58.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:58	3060/3060	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Sep%202022%2008:50:10%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2022/02/logo-footer-6-0x58.png	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2022/02/logo-footer-6-0x58.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:58	3012/3012	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Sep%202022%2008:50:06%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2022/02/logo-footer-9-0x58.png	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2022/02/logo-footer-9-0x58.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:59	1578/1578	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2011:18:45%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2022/11/apc-logo-0x58.jpg	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2022/11/apc-logo-0x58.jpg	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:59	2403/2403	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Sep%202022%2008:50:10%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2022/02/logo-footer-10-0x58.png	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2022/02/logo-footer-10-0x58.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:59	2720/2720	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2011:19:02%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2022/11/oise-tourisme-logo-0x58.png	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2022/11/oise-tourisme-logo-0x58.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:59	2949/2949	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Sep%202022%2008:50:07%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2022/02/logo-footer-5-0x58.png	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2022/02/logo-footer-5-0x58.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:30:00	2625/2625	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Sep%202022%2008:50:07%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2022/02/logo-footer-4-0x58.png	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2022/02/logo-footer-4-0x58.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:30:00	8244/8244	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Mar%202023%2007:56:34%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2023/03/experience-logo-small-0x120.png	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2023/03/experience-logo-small-0x120.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:30:00	42534/42534	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Jan%202023%2014:23:21%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2023/01/n1a9202-350x470.jpg	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2023/01/n1a9202-350x470.jpg	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:30:00	36887/36887	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Jan%202023%2015:16:03%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2023/01/x-renoux-20-05-pierrefonds-1102-hd-350x470-1674141363.jpg	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2023/01/x-renoux-20-05-pierrefonds-1102-hd-350x470-1674141363.jpg	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
